disaster_number,incident_type,designated_area,state,region,programs_declared
1812,Severe Ice Storm,Merrimack (County),NH,Northeast,2
1814,Flood,Honolulu (County),HI,West,3
1813,Severe Ice Storm,Hampshire (County),MA,Northeast,2
1815,Severe Storm(s),Lincoln (County),ME,Northeast,2
1816,Severe Ice Storm,Bennington (County),VT,Northeast,2
1817,Flood,Skamania (County),WA,West,2
1818,Severe Ice Storm,Bath (County),KY,Southeast,2
1819,Severe Storm(s),Boone (County),AR,Southeast,2
1820,Severe Storm(s),Coal (County),OK,Southwest,2
1822,Severe Storm(s),Cape Girardeau (County),MO,Midwest,2
1821,Severe Ice Storm,Lake (County),TN,Southeast,2
1823,Severe Storm(s),Comanche (County),OK,Southwest,2
1826,Severe Storm(s),Massac (County),IL,Midwest,2
1824,Severe Storm(s),Columbia (County),OR,West,2
1825,Severe Storm(s),Garfield (County),WA,West,2
1827,Severe Storm(s),Saratoga (County),NY,Northeast,2
1828,Severe Storm(s),Scott (County),IN,Midwest,2
1829,Severe Storm(s),LaMoure (County),ND,Midwest,3
1830,Severe Storm(s),Grant (County),MN,Midwest,2
1831,Severe Storm(s),Levy (County),FL,Southeast,2
1832,Severe Storm(s),Kosciusko (County),IN,Midwest,2
1833,Severe Storm(s),Irwin (County),GA,Southeast,2
1834,Tornado,Ashley (County),AR,Southeast,3
1835,Severe Storm(s),Crenshaw (County),AL,Southeast,2
1836,Severe Storm(s),Jefferson (County),AL,Southeast,2
1837,Severe Storm(s),Jackson (County),MS,Southeast,2
1839,Severe Storm(s),Rutherford (County),TN,Southeast,2
1838,Severe Storm(s),Calhoun (County),WV,Southeast,3
1840,Severe Storm(s),Baker (County),FL,Southeast,2
1841,Severe Storm(s),Clay (County),KY,Southeast,2
1842,Severe Storm(s),Bullock (County),AL,Southeast,3
1843,Flood,Lower Yukon Regional Educational Attendance Area,AK,West,3
1845,Severe Storm(s),Grant (County),AR,Southeast,2
1844,Severe Storm(s),Standing Rock Sioux Tribe of North & South Dakota,SD,Midwest,2
1847,Severe Storm(s),Camden (County),MO,Midwest,2
1846,Fire,Lincoln (County),OK,Southwest,2
1848,Severe Storm(s),Greenwood (County),KS,Midwest,2
1849,Severe Storm(s),Bourbon (County),KS,Midwest,2
1850,Severe Storm(s),Union (County),IL,Midwest,2
1851,Severe Storm(s),Fayette (County),TN,Southeast,2
1852,Severe Storm(s),Waldo (County),ME,Northeast,2
1853,Severe Storm(s),Garden (County),NE,Midwest,2
1854,Severe Storm(s),Black Hawk (County),IA,Midwest,2
1855,Severe Storm(s),Trimble (County),KY,Southeast,2
1856,Severe Storm(s),Decatur (County),TN,Southeast,2
1857,Severe Storm(s),Chenango (County),NY,Northeast,2
1858,Severe Storm(s),Carroll (County),GA,Southeast,3
1860,Severe Storm(s),Linn (County),KS,Midwest,2
1861,Severe Storm(s),Prairie (County),AR,Southeast,2
1862,Severe Storm(s),Isle of Wight (County),VA,Southeast,2
1863,Severe Storm(s),Claiborne (Parish),LA,Southeast,2
1864,Severe Storm(s),Johnson (County),NE,Midwest,2
1865,Severe Storm(s),Kodiak Island (Borough),AK,West,2
1867,Severe Storm(s),Cape May (County),NJ,Northeast,2
1866,Hurricane,Mobile (County),AL,Southeast,2
1868,Severe Storm(s),Republic (County),KS,Midwest,2
1870,Severe Storm(s),Crenshaw (County),AL,Southeast,2
1869,Severe Storm(s),Suffolk (County),NY,Northeast,2
1871,Severe Storm(s),Buncombe (County),NC,Southeast,2
1872,Severe Storm(s),Grant (County),AR,Southeast,2
1873,Snow,Salem (County),NJ,Northeast,2
1874,Snow,Augusta (County),VA,Southeast,2
1875,Snow,Howard (County),MD,Northeast,2
1878,Severe Storm(s),Cass (County),NE,Midwest,2
1877,Severe Storm(s),Calhoun (County),IA,Midwest,2
1876,Severe Storm(s),Beckham (County),OK,Southwest,2
1879,Severe Storm(s),Bowman (County),ND,Midwest,2
1881,Snow,Mercer (County),WV,Southeast,2
1880,Severe Storm(s),Boone (County),IA,Midwest,2
1883,Severe Ice Storm,Rogers (County),OK,Southwest,2
1884,Severe Storm(s),Calaveras (County),CA,West,2
1886,Severe Storm(s),Mellette (County),SD,Midwest,2
1885,Severe Storm(s),Bourbon (County),KS,Midwest,2
1887,Severe Storm(s),Day (County),SD,Midwest,2
1888,Severe Storm(s),Gila (County),AZ,Southwest,2
1889,Snow,Gloucester (County),NJ,Northeast,2
1891,Severe Storm(s),Knox (County),ME,Northeast,2
1895,Severe Storm(s),"Bristol (County)(in (P)MSA 1120,1200,2480,5400,6060)",MA,Northeast,3
1892,Severe Storm(s),Merrimack (County),NH,Northeast,2
1893,Severe Storm(s),Fayette (County),WV,Southeast,3
1894,Severe Storm(s),Bristol (County),RI,Northeast,3
1896,Snow,Kent (County),DE,Northeast,2
1897,Severe Storm(s),Burlington (County),NJ,Northeast,2
1899,Severe Storm(s),Orange (County),NY,Northeast,2
1898,Snow,Beaver (County),PA,Northeast,2
1900,Flood,Upper Sioux Community (Indian Reservation),MN,Midwest,2
1902,Flood,Boyd (County),NE,Midwest,2
1901,Severe Storm(s),Burleigh (County),ND,Midwest,2
1904,Severe Storm(s),Windham (County),CT,Northeast,2
1903,Snow,Monongalia (County),WV,Southeast,2
1905,Snow,Albemarle (County),VA,Southeast,2
1906,Severe Storm(s),Attala (County),MS,Southeast,3
1907,Flood,Grand Forks (County),ND,Midwest,2
1908,Severe Storm(s),Marshall (County),AL,Southeast,3
1909,Severe Storm(s),Benton (County),TN,Southeast,3
1910,Snow,Anne Arundel (County),MD,Northeast,2
1911,Earthquake,Imperial (County),CA,West,2
1912,Severe Storm(s),Carlisle (County),KY,Southeast,2
1913,Severe Storm(s),"Rockingham (County)(in (P)MSA 4160,4760,6450)",NH,Northeast,2
1915,Flood,Buffalo (County),SD,Midwest,2
1914,Severe Storm(s),Ziebach (County),SD,Midwest,2
1916,Severe Storm(s),Lafayette (County),MS,Southeast,2
1917,Severe Storm(s),Garvin (County),OK,Southwest,3
1918,Flood,Wyoming (County),WV,Southeast,3
1920,Severe Storm(s),Hancock (County),ME,Northeast,2
1921,Tornado,Houston (County),MN,Midwest,2
1922,Severe Storm(s),Rocky Boy's Indian Reservation,MT,West,2
1923,Flood,Platte (County),WY,West,2
1924,Severe Storm(s),Cass (County),NE,Midwest,2
1925,Severe Storm(s),Carter (County),KY,Southeast,3
1926,Severe Storm(s),Oklahoma (County),OK,Southwest,2
1927,Severe Storm(s),Washington (County),ID,West,2
1928,Severe Storm(s),Lee (County),IA,Midwest,2
1930,Severe Storm(s),Butler (County),IA,Midwest,2
1929,Severe Storm(s),Dewey (County),SD,Midwest,2
1931,Hurricane,Floyd (County),TX,Southwest,2
1932,Severe Storm(s),Cheyenne (County),KS,Midwest,2
1933,Severe Storm(s),Milwaukee (County),WI,Midwest,3
1934,Severe Storm(s),Holt (County),MO,Midwest,2
1935,Severe Storm(s),Pike (County),IL,Midwest,2
1936,Flood,Pueblo of Acoma,NM,Southwest,2
1937,Severe Storm(s),Smith (County),TN,Southeast,2
1938,Severe Storm(s),Clay (County),SD,Midwest,2
1940,Severe Storm(s),Hopi Indian Reservation,AZ,Southwest,2
1941,Severe Storm(s),Carver (County),MN,Midwest,2
1943,Tornado,Kings (County),NY,Northeast,2
1942,Severe Storm(s),Camden (County),NC,Southeast,2
1945,Severe Storm(s),Nemaha (County),NE,Midwest,2
1944,Severe Storm(s),Marathon (County),WI,Midwest,2
1947,Severe Storm(s),Union (County),SD,Midwest,2
1950,Severe Storm(s),Havasupai Indian Reservation,AZ,Southwest,2
1951,Severe Storm(s),Franklin (County),VT,Northeast,2
1952,Flood,Kern (County),CA,West,2
1953,Severe Storm(s),Piscataquis (County),ME,Northeast,2
1954,Snow,Ocean (County),NJ,Northeast,2
1955,Flood,Washington (County),UT,West,2
1956,Severe Storm(s),Clackamas (County),OR,West,2
1957,Severe Storm(s),Bronx (County),NY,Northeast,2
1958,Snow,Paucatuck Eastern Pequot Indian Reservation,CT,Northeast,2
1959,Snow,Hampden (County),MA,Northeast,2
1960,Snow,La Salle (County),IL,Midwest,2
1961,Severe Storm(s),Caldwell (County),MO,Midwest,2
1962,Severe Storm(s),Pueblo of Picuris,NM,Southwest,2
1963,Severe Storm(s),King (County),WA,West,2
1964,Tsunami,Lincoln (County),OR,West,2
1965,Severe Storm(s),Hamilton (County),TN,Southeast,2
1966,Snow,Iowa (County),WI,Midwest,2
1967,Tsunami,Hawaii (County),HI,West,2
1968,Tsunami,Del Norte (County),CA,West,2
1969,Severe Storm(s),Bertie (County),NC,Southeast,3
1970,Severe Storm(s),Atoka (County),OK,Southwest,3
1971,Severe Storm(s),Randolph (County),AL,Southeast,2
1973,Severe Storm(s),Catoosa (County),GA,Southeast,3
1972,Severe Storm(s),Benton (County),MS,Southeast,2
1974,Severe Storm(s),Blount (County),TN,Southeast,2
1975,Severe Storm(s),Craighead (County),AR,Southeast,2
1976,Severe Storm(s),Calloway (County),KY,Southeast,2
1977,Severe Storm(s),Cherokee (County),IA,Midwest,2
1980,Severe Storm(s),Barry (County),MO,Midwest,2
1979,Severe Storm(s),Benton (County),TN,Southeast,2
1978,Severe Storm(s),Chester (County),TN,Southeast,2
1982,Flood,Carver (County),MN,Midwest,2
1981,Flood,Divide (County),ND,Midwest,2
1983,Flood,Adams (County),MS,Southeast,3
1985,Severe Storm(s),Jefferson (County),OK,Southwest,2
1984,Flood,Beadle (County),SD,Midwest,2
1986,Severe Storm(s),Burke (County),ND,Midwest,2
1987,Flood,Nez Perce (County),ID,West,2
1988,Severe Storm(s),Cherokee (County),OK,Southwest,2
1989,Severe Storm(s),Ottawa (County),OK,Southwest,2
1991,Severe Storm(s),Gallatin (County),IL,Midwest,3
1990,Severe Storm(s),Hennepin (County),MN,Midwest,2
1993,Flood,Clinton (County),NY,Northeast,2
1992,Flood,Crooked Creek (ANV/ANVSA),AK,West,2
1995,Severe Storm(s),Grand Isle (County),VT,Northeast,3
1994,Tornado,Hampden (County),MA,Northeast,3
1996,Severe Storm(s),Rocky Boy's Indian Reservation,MT,West,2
1997,Severe Storm(s),Crawford (County),IN,Midwest,2
1998,Flood,Monona (County),IA,Midwest,3
1999,Fire,Bailey (County),TX,Southwest,2
4000,Severe Storm(s),Crawford (County),AR,Southeast,2
4001,Severe Storm(s),Essex (County),VT,Northeast,2
4002,Severe Storm(s),Vinton (County),OH,Midwest,2
4003,Severe Storm(s),Tioga (County),PA,Northeast,2
4005,Severe Storm(s),Marion (County),TN,Southeast,2
4007,Severe Storm(s),Teton (County),WY,West,2
4006,Flood,Coos (County),NH,Northeast,2
4008,Severe Storm(s),Knott (County),KY,Southeast,2
4009,Severe Storm(s),Kandiyohi (County),MN,Midwest,2
4010,Severe Storm(s),Russell (County),KS,Midwest,2
4011,Flood,Piute (County),UT,West,2
4014,Severe Storm(s),Dundy (County),NE,Midwest,2
4012,Flood,Carroll (County),MO,Midwest,2
4013,Flood,Dixon (County),NE,Midwest,2
4015,Flood,Catahoula (Parish),LA,Southeast,1
4016,Severe Storm(s),Clay (County),IA,Midwest,2
4018,Severe Storm(s),Dubuque (County),IA,Midwest,2
4021,Hurricane,Hudson (County),NJ,Northeast,3
4020,Hurricane,Franklin (County),NY,Northeast,2
4019,Hurricane,Chowan (County),NC,Southeast,3
4022,Hurricane,Washington (County),VT,Northeast,3
4023,Hurricane,Windham (County),CT,Northeast,3
4028,Hurricane,Barnstable (County),MA,Northeast,2
4027,Hurricane,Statewide,RI,Northeast,1
4026,Hurricane,Merrimack (County),NH,Northeast,2
4025,Hurricane,Susquehanna (County),PA,Northeast,2
4024,Hurricane,Charles City (County),VA,Southeast,2
4029,Fire,Camp (County),TX,Southwest,2
4030,Flood,Tioga (County),PA,Northeast,2
4032,Hurricane,Franklin (County),ME,Northeast,2
4031,Severe Storm(s),Otsego (County),NY,Northeast,3
4033,Severe Storm(s),Salem (County),NJ,Northeast,2
4034,Hurricane,Baltimore (County),MD,Northeast,2
4035,Flood,Wyandotte (County),KS,Midwest,2
4037,Hurricane,Sussex (County),DE,Northeast,2
4038,Flood,Howard (County),MD,Northeast,2
4039,Severe Storm(s),Hunterdon (County),NJ,Northeast,2
4041,Coastal Storm,East Feliciana (Parish),LA,Southeast,2
4042,Earthquake,Fluvanna (County),VA,Southeast,2
4043,Severe Storm(s),Washington (County),VT,Northeast,2
4045,Severe Storm(s),King George (County),VA,Southeast,2
4046,Severe Storm(s),"Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",CT,Northeast,2
4047,Flood,Pueblo of Acoma,NM,Southwest,2
4048,Severe Storm(s),Essex (County),NJ,Northeast,2
4049,Severe Storm(s),"Hillsborough (County)(in (P)MSA 4560,4760,5350)",NH,Northeast,2
4050,Severe Storm(s),Bering Strait Regional Educational Attendance Area,AK,West,2
4051,Severe Storm(s),"Worcester (County) (in (P)MSA 1120,2600,9240)",MA,Northeast,2
4053,Severe Storm(s),Davis (County),UT,West,2
4052,Severe Storm(s),Jefferson (County),AL,Southeast,2
4054,Severe Storm(s),Kenai Peninsula (Borough),AK,West,2
4055,Flood,Hood River (County),OR,West,2
4056,Severe Storm(s),Mason (County),WA,West,2
4057,Severe Storm(s),Adair (County),KY,Southeast,2
4058,Severe Storm(s),Warrick (County),IN,Midwest,2
4060,Severe Storm(s),Bradley (County),TN,Southeast,2
