disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
703,MS,Tornado,Tornadoes,1984-03-28,1984-03-29,Lafayette (County),3,1,1984,Southeast,Spring,1,1,2
704,OK,Tornado,Severe Storms & Tornadoes,1984-04-26,1984-04-29,Okmulgee (County),4,3,1984,Southwest,Spring,1,2,5
706,WV,Flood,Severe Storms & Flooding,1984-05-15,1984-05-15,McDowell (County),5,1,1984,Southeast,Spring,1,1,2
705,KY,Severe Storm(s),"High Winds, Tornadoes & Flooding",1984-05-15,1984-05-15,Taylor (County),5,1,1984,Southeast,Spring,1,1,2
707,VA,Flood,Severe Storms & Flooding,1984-05-23,1984-05-23,Buchanan (County),5,1,1984,Southeast,Spring,1,2,2
708,TN,Flood,Severe Storms & Flooding,1984-05-06,1984-05-11,Campbell (County),5,5,1984,Southeast,Spring,1,1,2
709,OK,Flood,Severe Storms & Flooding,1984-05-26,1984-05-27,Rogers (County),5,1,1984,Southwest,Spring,1,1,5
710,WI,Tornado,Severe Storms & Tornadoes,1984-06-08,1984-06-08,Iowa (County),6,1,1984,Midwest,Summer,2,2,3
712,VT,Flood,Severe Storms & Flooding,1984-06-06,1984-06-08,Franklin (County),6,2,1984,Northeast,Summer,2,2,1
711,CT,Flood,Severe Storms & Flooding,1984-05-27,1984-06-02,"Middlesex (County)(in (P)MSA 3280,5020,5480)",5,6,1984,Northeast,Spring,1,2,1
713,MO,Flood,Severe Storms & Flooding,1984-06-06,1984-06-16,Atchison (County),6,10,1984,Midwest,Summer,2,1,3
714,KS,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1984-06-07,1984-06-09,Atchison (County),6,2,1984,Midwest,Summer,2,1,3
715,IA,Severe Storm(s),"Severe Storms, Tornadoes, Hail & Floods",1984-06-07,1984-06-08,Pottawattamie (County),6,1,1984,Midwest,Summer,2,1,3
716,NE,Tornado,Tornadoes & Flooding,1984-06-11,1984-06-22,Wayne (County),6,11,1984,Midwest,Summer,2,2,3
717,SD,Flood,Severe Storms & Flooding,1984-06-11,1984-06-11,Lake (County),6,1,1984,Midwest,Summer,2,1,3
